Prior,Market
0,0
0.921,0.031
0,0
0.555,-0.102
0.582,0.023
0.751,-0.147
0.577,0.13
0.915,0.131
0.585,0.082
0.729,0.024
0.633,0.155
0.583,-0.001
0.631,-0.094
0.72,-0.064
0.942,0.013
0.81,0.132
0.676,0.137
0.82,0.036
0.684,-0.041
0.684,0.148
0.542,0.029
0.788,0.004
0.883,0.022
0,0
0.669,-0.092
0.798,0.073
0.768,0.063
0.806,0.028
0.618,-0.087
0.707,-0.008
0.533,-0.1
0.502,0.069
0.755,-0.072
0.631,-0.034
0.739,-0.039
0.503,-0.126
0.516,-0.209
0.713,-0.048
0.963,0.065
0.837,-0.003
0.736,0.058
0.657,-0.197
0.553,-0.208
0.945,-0.018
0,0
0,0
0.813,0.135
0.586,0.021
0,0
0.573,0.06
0.717,0.068
0.828,0.014
0.909,0.069
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.509,-0.381
0,0
0,0
0.596,0.184
0,0
0.867,0.475
0.683,-0.062
0.626,-0.119
0.829,0.002
0.757,-0.181
0.547,-0.336
0,0
0.567,-0.346
0,0
0,0
0.63,-0.308
0.519,-0.04
0.68,-0.174
0.729,-0.209
0.562,-0.116
0.505,0.072
0,0
0.806,-0.034
0.874,-0.039
0.687,-0.018
0.608,-0.282
0,0
0.748,-0.19
0,0
0,0
0,0
0,0
0.57,-0.041
0,0
0.524,0.14
0.736,0.035
0,0
0.798,0.073
0.502,0.143
0.83,0.052
0,0
0.657,-0.197
0.684,0.183
0.835,0.11
0.81,0.105
0.717,0.06
0.828,0.014
0.918,0.057
0,0
0.707,-0.008
0.713,-0.071
0,0
0.837,-0.01
0.894,0.054
0.553,-0.208
0.88,-0.01
0.909,0.055
0.698,0.087
0.542,0.003
0.836,0.058
0.945,-0.018
0.586,0.073
0.573,0.06
0.935,0.045
0.788,0.004
0.556,0.03
0.813,0.135
0.618,-0.087
0.516,-0.229
0,0
0.786,-0.075
0.582,0.088
0.883,0.008
0.539,0.003
0,0
0.902,-0.027
0.86,-0.001
0.953,0.024
0.577,-0.088
0.701,-0.077
0.68,-0.249
0,0
0.909,0.019
0,0
0.87,-0.028
0.692,-0.148
0.729,-0.2
0.504,0.015
0,0
0.562,-0.199
0.565,-0.262
0.539,-0.126
0,0
0,0
0.505,0.136
0.702,-0.043
0,0
0,0
0.671,-0.09
0.617,-0.191
0.806,-0.055
0.556,-0.169
0.874,-0.039
0.674,-0.051
0.824,0.195
0,0
0.51,-0.235
0.866,-0.032
0,0
0,0
0,0
0.831,-0.044
0.667,-0.011
0,0
0.889,-0.04
0.619,-0.271
0.692,-0.198
0,0
0,0
0,0
0.613,-0.092
0,0
0,0
0.687,-0.038
0.608,-0.267
0.934,0.044
0.801,-0.039
0.836,0.028
0.9,-0.046
0.93,-0.016
0,0
0.547,0.155
0.748,-0.19
0.654,-0.011
0.73,0.112
0.762,-0.151
0.804,-0.004
0.786,-0.104
0.781,-0.109
0.578,-0.033
0.55,-0.258
0.512,-0.328
0.899,-0.039
0.748,-0.19
0.772,-0.183
0.884,-0.054
0.887,0.004
0.852,-0.023
0.804,-0.101
0.506,0.077
0.795,-0.11
0.87,-0.059
0.525,-0.302
0.568,-0.081
0.509,0.08
0.555,-0.056
0.686,-0.039
0.823,-0.038
0.609,-0.002
0.863,0.002
0.511,0.064
0.503,-0.426
0.645,0.016
0.517,-0.073
0.517,-0.073
0.543,0.27
0.566,-0.179
0.845,0.084
0.535,0.106
0.675,0.026
0.743,-0.212
0.744,-0.064
0.71,-0.236
0.506,-0.007
0.738,-0.123
0.877,-0.036
0.546,-0.262
0.643,0.538
0.69,-0.055
0.768,0.063
0.658,-0.182
0.508,-0.17
0.889,0.062
0.89,0.029
0.568,-0.061
0.512,0.065
0.573,0.014
0.63,0.285
0.693,-0.197
0.633,-0.221
0.943,0.014
0.88,0.072
0.562,-0.028
0,0
0,0
0.976,0.038
0.731,0.03
0.781,0.08
0,0
0,0
0.618,-0.166
0.641,0.282
0.546,-0.051
0.853,-0.138
0.822,0.406
0.874,-0.031
0.954,-0.037
0.825,-0.088
0.63,-0.231
0,0
0.866,0.012
0.663,-0.198
0,0
0.596,0.012
0.547,0.357
0.922,-0.016
0.736,-0.125
0.551,0.456
0.708,-0.197
0.851,0.011
0,0
0,0
0.516,-0.292
0,0
0.593,-0.112
0.694,-0.114
0.631,-0.074
0.51,-0.38
0.635,-0.328
0.807,-0.148
0.65,-0.24
0.58,-0.031
0,0
0.933,-0.022
0.824,-0.051
0.771,-0.104
0.733,-0.15
0.568,-0.022
0.887,-0.051
0,0
0.839,0.012
0.798,-0.092
0.766,-0.147
0.635,-0.03
0,0
0.663,-0.164
0,0
0,0
0.572,-0.106
0.752,0.263
0.89,-0.056
0.905,-0.041
0.675,-0.086
0.922,0.047
0,0
0.5,-0.354
0.944,0.061
0.776,-0.107
0.695,-0.066
0.573,-0.235
0,0
0.56,-0.165
0.706,0.147
0.614,0.238
0.539,-0.39
0.815,-0.09
0,0
0,0
0.543,-0.241
0.794,0.165
0.648,0.219
0.756,-0.173
0.577,0.496
0.941,-0.014
0,0
0.913,-0.05
0.774,-0.053
0.58,0.168
0.684,-0.061
0,0
0.637,-0.124
0.776,-0.008
0,0
0.685,-0.04
0.756,-0.022
0.703,-0.058
0,0
0,0
0.626,-0.249
0.849,-0.089
0,0
0.848,-0.098
0,0
0.794,-0.152
0.521,-0.287
0,0
0,0
0,0
0.632,-0.025
0,0
0,0
0,0
0.779,-0.029
0.835,0.074
0.936,0.007
0,0
0.55,-0.155
0,0
0,0
0,0
0,0
0,0
0.558,-0.001
0,0
0.711,-0.067
0.623,-0.102
0,0
0.573,-0.105
0.919,-0.027
0.701,-0.024
0,0
0.56,-0.051
0,0
0,0
0,0
0,0
0,0
0,0
0.799,-0.084
0,0
0,0
0.712,-0.178
0.948,0.002
0.927,0.044
0.51,-0.235
0.7,0.022
0.676,-0.151
0.858,0.074
0.828,0.044
0,0
0,0
0,0
0,0
0,0
0,0
0.91,0.102
0,0
0.528,-0.04
0,0
0.778,-0.062
0,0
0,0
0,0
0,0
0.614,-0.064
0.598,-0.067
0.678,-0.023
0.658,-0.12
0.739,-0.045
0.503,-0.123
0,0
0.532,0.094
0.719,-0.053
0.739,-0.045
0.806,0.028
0.533,-0.093
0.631,-0.034
0.676,0.117
0,0
0.768,0.048
0.665,0.176
0.838,-0.002
0.689,0.04
0.979,0.118
0,0
0,0
0.68,0.023
0.517,-0.019
0.755,-0.092
0.82,-0.041
0.684,0.019
0.963,0.017
0.637,-0.108
0.732,0.007
0.552,0.103
0.796,-0.038
0.586,0.281
0,0
0,0
0.515,0.026
0,0
0.669,-0.109
0,0
0.731,0.035
0,0
0,0
0.796,0.118
0,0
0.781,0.103
0.857,-0.004
0.963,0.058
0.618,0.04
0.826,0.048
0.911,-0.01
0.879,0.039
0.778,0.017
0.703,0.025
0.692,-0.038
0.972,0.017
0.927,0.029
0.62,-0.041
0.791,-0.084
0.645,0.058
0.96,0.022
0.573,-0.049
0.713,0.022
0.587,-0.074
0.532,-0.062
0.825,-0.015
0.581,0.04
0.868,0.123
0.844,-0.024
0.506,-0.159
0.69,0.089
0.68,-0.045
0.535,0.088
0.675,-0.133
0.613,-0.035
0.556,-0.092
0.897,-0.04
0.801,-0.007
0,0
0,0
0.623,-0.042
0.737,0.28
0,0
0,0
0.547,0.103
0.792,0.042
0.57,0.182
0.736,-0.031
0,0
0,0
0,0
0,0
0.755,0.106
0.932,0.042
0.505,0.079
0.627,0.074
0.658,-0.043
0,0
0,0
0.556,-0.009
0.837,0.092
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.68,-0.025
0.665,-0.04
0.618,-0.039
0.801,-0.026
0.551,-0.227
0.801,-0.007
0,0
0.715,0.037
0.897,-0.041
0.863,0.055
0.811,0.066
0.556,-0.073
0.803,0.244
0.595,-0.054
0.827,-0.034
0.817,0.009
0.91,-0.019
0.713,0.008
0.875,-0.038
0,0
0.627,-0.002
0,0
0,0
0,0
0,0
0,0
0,0
0.502,0.055
0,0
0.642,0.153
0.604,-0.074
0.833,0.055
0.551,0.038
0.922,0.039
0.626,-0.135
0.66,-0.085
0,0
0.585,0.026
0,0
0,0
0,0
0,0
0,0
0.9,0.06
0.631,-0.018
0,0
0,0
0,0
0.539,0.127
0,0
0.801,-0.001
0,0
0,0
0,0
0,0
0,0
0.543,-0.114
0,0
0.888,0.034
0.777,0.032
0,0
0.585,-0.14
0.719,-0.156
0.654,-0.091
0.756,0.197
0.82,0.064
0.539,-0.251
0.689,-0.101
0.643,0.176
0.747,-0.121
0.84,0.13
0.809,-0.059
0.808,0.351
0,0
0.515,-0.053
0.603,-0.102
0.556,-0.003
0,0
0.801,-0.02
0.731,-0.077
0.803,0.158
